Slice,Area,Media,Minimo,Maximo
0,0,0.00,0,0
1,0,0.00,0,0
2,0,0.00,0,0
3,0,0.00,0,0
4,0,0.00,0,0
5,0,0.00,0,0
6,0,0.00,0,0
7,0,0.00,0,0
8,0,0.00,0,0
9,0,0.00,0,0
10,0,0.00,0,0
11,0,0.00,0,0
12,0,0.00,0,0
13,0,0.00,0,0
14,0,0.00,0,0
15,0,0.00,0,0
16,0,0.00,0,0
17,0,0.00,0,0
18,0,0.00,0,0
19,0,0.00,0,0
20,0,0.00,0,0
21,0,0.00,0,0
22,0,0.00,0,0
23,0,0.00,0,0
24,0,0.00,0,0
25,0,0.00,0,0
26,0,0.00,0,0
27,0,0.00,0,0
28,0,0.00,0,0
29,0,0.00,0,0
30,0,0.00,0,0
31,0,0.00,0,0
32,0,0.00,0,0
33,0,0.00,0,0
34,0,0.00,0,0
35,0,0.00,0,0
36,0,0.00,0,0
37,0,0.00,0,0
38,0,0.00,0,0
39,0,0.00,0,0
40,0,0.00,0,0
41,0,0.00,0,0
42,0,0.00,0,0
43,31,173.61,143,189
44,218,167.22,106,208
45,426,148.04,109,180
46,583,165.34,106,200
47,659,148.85,111,180
48,787,175.00,72,232
49,874,177.39,115,245
50,977,180.90,46,255
51,1038,179.75,127,244
52,1137,128.28,93,177
53,1229,118.40,14,164
54,1292,113.87,50,156
55,1290,122.00,6,170
56,1332,126.20,33,175
57,1396,115.22,6,159
58,1434,118.42,0,162
59,1537,110.97,22,150
60,1653,111.11,53,148
61,1797,112.47,64,143
62,1959,124.61,86,161
63,2110,165.37,115,217
64,2272,179.47,110,250
65,2391,177.22,105,245
66,2521,171.56,77,236
67,2622,168.93,79,234
68,2701,172.62,102,239
69,2772,166.60,104,232
70,2814,161.98,95,220
71,2883,156.40,76,211
72,2972,159.55,75,217
73,3059,154.70,77,233
74,3119,155.92,77,245
75,3106,158.81,40,248
76,3061,164.86,33,255
77,3019,162.99,44,255
78,2972,165.34,35,255
79,2976,166.13,49,255
80,2977,162.56,78,255
81,2960,161.43,92,255
82,2956,164.03,98,255
83,2935,166.82,101,251
84,2868,169.92,102,255
85,2800,174.62,102,251
86,2737,179.02,95,255
87,2701,177.62,81,255
88,2659,179.19,71,255
89,2582,173.71,81,255
90,2524,170.99,92,255
91,2429,173.01,112,255
92,2346,172.86,99,255
93,2295,172.49,88,255
94,2244,176.82,98,255
95,2208,174.86,112,255
96,2126,174.32,119,255
97,2089,176.84,114,255
98,2031,179.73,124,255
99,2016,185.86,119,255
100,1973,187.57,119,255
101,1916,193.76,122,255
102,1841,201.48,128,255
103,1768,205.35,145,255
104,1694,214.14,128,255
105,1577,220.39,142,255
106,1460,222.48,146,255
107,1302,223.18,144,255
108,1180,224.38,155,255
109,1009,226.42,148,255
110,842,226.66,147,255
111,733,223.25,140,255
112,653,223.89,141,255
113,557,223.71,155,255
114,457,223.39,148,255
115,368,215.95,161,255
116,231,210.67,162,255
117,147,205.83,153,255
118,44,199.45,139,234
119,0,0.00,0,0
120,0,0.00,0,0
121,0,0.00,0,0
122,0,0.00,0,0
123,0,0.00,0,0
124,0,0.00,0,0
125,0,0.00,0,0
126,0,0.00,0,0
127,0,0.00,0,0
128,0,0.00,0,0
129,0,0.00,0,0
130,0,0.00,0,0
131,0,0.00,0,0
132,0,0.00,0,0
133,0,0.00,0,0
134,0,0.00,0,0
135,0,0.00,0,0
136,0,0.00,0,0
137,0,0.00,0,0
138,0,0.00,0,0
139,0,0.00,0,0
140,0,0.00,0,0
141,0,0.00,0,0
142,0,0.00,0,0
143,0,0.00,0,0
144,0,0.00,0,0
145,0,0.00,0,0
146,0,0.00,0,0
147,0,0.00,0,0
148,0,0.00,0,0
149,0,0.00,0,0
150,0,0.00,0,0
151,0,0.00,0,0
152,0,0.00,0,0
153,0,0.00,0,0
154,0,0.00,0,0
